"X","Y","name"
-60.7809026,-32.9491763,"Intersection 207"
-60.7808879,-32.9221609,"Intersection 208"
-60.7808873,-32.9178327,"Intersection 209"
-60.7808848,-32.9170377,"Intersection 210"
-60.7808667,-32.9977639,"Intersection 211"
-60.7808657,-32.9198988,"Intersection 212"
-60.7808623,-32.8860632,"Intersection 213"
-60.7808467,-32.9163588,"Intersection 214"
-60.7808309,-32.8856601,"Intersection 215"
-60.7808304,-32.9238609,"Intersection 216"
-60.7808232,-32.9139726,"Intersection 217"
-60.7807871,-32.9215392,"Intersection 218"
-60.7807725,-32.9197571,"Intersection 219"
-60.78077,-32.8855874,"Intersection 220"
-60.7807192,-32.9183861,"Intersection 221"
-60.7807176,-32.9182897,"Intersection 222"
-60.7806874,-32.9166034,"Intersection 223"
-60.7806804,-32.9183019,"Intersection 224"
-60.7806487,-32.9165181,"Intersection 225"
-60.7806472,-32.9181385,"Intersection 226"
-60.7806108,-32.9181506,"Intersection 227"
-60.7806106,-32.9164345,"Intersection 228"
-60.7805976,-32.9176535,"Intersection 229"
-60.7805818,-32.9179961,"Intersection 230"
-60.7805793,-32.9169814,"Intersection 231"
-60.7805732,-32.9215278,"Intersection 232"
-60.7805564,-32.9176667,"Intersection 233"
-60.7805542,-32.9197865,"Intersection 234"
-60.780545,-32.9180077,"Intersection 235"
-60.7805404,-32.9178043,"Intersection 236"
-60.7805387,-32.9162166,"Intersection 237"
-60.7805318,-32.9179791,"Intersection 238"
-60.78053,-32.9081112,"Intersection 239"
-60.7805262,-32.9167756,"Intersection 240"
-60.7805067,-32.9177072,"Intersection 241"
-60.7804916,-32.9244846,"Intersection 242"
-60.7804908,-32.916787,"Intersection 243"
-60.7804847,-32.9202849,"Intersection 244"
-60.7804819,-32.9169074,"Intersection 245"
-60.780477,-32.9163131,"Intersection 246"
-60.7804702,-32.9173764,"Intersection 247"
-60.7804673,-32.9917549,"Intersection 248"
-60.7804603,-32.9250949,"Intersection 249"
-60.780456,-32.9180357,"Intersection 250"
-60.7804478,-32.9216074,"Intersection 251"
-60.7804424,-32.9179178,"Intersection 252"
-60.7804383,-32.9183812,"Intersection 253"
-60.7804348,-32.9769116,"Intersection 254"
-60.7804288,-32.9173894,"Intersection 255"
-60.7804249,-32.9183556,"Intersection 256"
-60.7804125,-32.92583,"Intersection 257"
-60.780412,-32.9170352,"Intersection 258"
-60.7804089,-32.9774542,"Intersection 259"
-60.7804081,-32.917929,"Intersection 260"
-60.780398,-32.9170397,"Intersection 261"
-60.780396,-32.9170013,"Intersection 262"
-60.7803874,-32.9170431,"Intersection 263"
-60.7803873,-33.0024436,"Intersection 264"
-60.7803863,-32.9174027,"Intersection 265"
-60.7803843,-32.9779716,"Intersection 266"
-60.7803831,-32.995207,"Intersection 267"
-60.7803819,-32.9170055,"Intersection 268"
-60.7803795,-32.9182595,"Intersection 269"
-60.7803767,-32.9178592,"Intersection 270"
-60.7803711,-32.9170087,"Intersection 271"
-60.7803666,-32.9174089,"Intersection 272"
-60.7803648,-32.9182321,"Intersection 273"
-60.7803642,-32.9179432,"Intersection 274"
-60.7803613,-32.9266164,"Intersection 275"
-60.7803595,-32.9784934,"Intersection 276"
-60.7803573,-32.9169475,"Intersection 277"
-60.7803514,-32.9182069,"Intersection 278"
-60.7803472,-32.917752,"Intersection 279"
-60.7803369,-32.9789681,"Intersection 280"
-60.7803306,-32.9974935,"Intersection 281"
-60.7803222,-32.9272171,"Intersection 282"
-60.7803147,-32.9172953,"Intersection 283"
-60.7803073,-32.9176606,"Intersection 284"
-60.7803072,-32.9181178,"Intersection 285"
-60.7802935,-32.9180867,"Intersection 286"
-60.7802914,-32.9169852,"Intersection 287"
-60.7802887,-32.9700577,"Intersection 288"
-60.7802848,-32.9169709,"Intersection 289"
-60.780281,-32.9180583,"Intersection 290"
-60.7802779,-32.9795509,"Intersection 291"
-60.7802737,-32.9169465,"Intersection 292"
-60.780273,-32.9149451,"Intersection 293"
-60.7802671,-32.9800639,"Intersection 294"
-60.780264,-32.9993035,"Intersection 295"
-60.7802588,-33.0259802,"Intersection 296"
-60.7802502,-32.9169985,"Intersection 297"
-60.780247,-32.9152492,"Intersection 298"
-60.7802469,-32.9179791,"Intersection 299"
-60.7802457,-32.9805859,"Intersection 300"
-60.7802438,-32.9175456,"Intersection 301"
-60.7802435,-32.9173186,"Intersection 302"
-60.7802407,-32.9169777,"Intersection 303"
-60.7802325,-32.9169598,"Intersection 304"
-60.7802083,-32.9173301,"Intersection 305"
-60.780201,-32.9176493,"Intersection 306"
-60.7801991,-32.9169911,"Intersection 307"
-60.7801989,-32.92073,"Intersection 308"
-60.7801923,-32.9206098,"Intersection 309"
-60.7801874,-32.9789954,"Intersection 310"
-60.7801813,-32.915309,"Intersection 311"
-60.7801797,-32.998719,"Intersection 312"
-60.7801794,-32.9169992,"Intersection 313"
-60.7801704,-32.9795468,"Intersection 314"
-60.7801698,-32.9177107,"Intersection 315"
-60.7801691,-32.9185709,"Intersection 316"
-60.7801652,-32.9052851,"Intersection 317"
-60.7801504,-32.9241993,"Intersection 318"
-60.7801491,-32.9173495,"Intersection 319"
-60.7801336,-32.9173144,"Intersection 320"
-60.7801303,-32.886063,"Intersection 321"
-60.7801296,-32.9184823,"Intersection 322"
-60.7801277,-32.9168862,"Intersection 323"
-60.7801275,-32.9151845,"Intersection 324"
-60.7801128,-32.9173614,"Intersection 325"
-60.7801117,-32.9181438,"Intersection 326"
-60.7801062,-32.9178418,"Intersection 327"
-60.7801049,-32.9211363,"Intersection 328"
-60.780101,-32.9939423,"Intersection 329"
-60.7800971,-32.9170246,"Intersection 330"
-60.7800955,-32.9045983,"Intersection 331"
-60.7800868,-32.916537,"Intersection 332"
-60.7800748,-32.9184863,"Intersection 333"
-60.7800701,-32.9183296,"Intersection 334"
-60.7800635,-32.9178189,"Intersection 335"
-60.7800453,-32.9165508,"Intersection 336"
-60.7800416,-32.9169133,"Intersection 337"
-60.7800309,-33.0017577,"Intersection 338"
-60.7800265,-32.9149692,"Intersection 339"
-60.7800192,-32.917945,"Intersection 340"
-60.7800153,-32.9169205,"Intersection 341"
-60.7800149,-32.9668219,"Intersection 342"
-60.7800067,-32.9168513,"Intersection 343"
-60.7800056,-32.8821824,"Intersection 344"
-60.7800049,-32.9165642,"Intersection 345"
-60.7800022,-32.918509,"Intersection 346"
-60.7800021,-32.9149153,"Intersection 347"
-60.779999,-32.9671102,"Intersection 348"
-60.7799894,-32.9184787,"Intersection 349"
-60.7799842,-32.9181657,"Intersection 350"
-60.7799837,-32.9165709,"Intersection 351"
-60.7799824,-32.9180302,"Intersection 352"
-60.7799751,-32.9169328,"Intersection 353"
-60.779967,-32.9081566,"Intersection 354"
-60.7799614,-32.8902974,"Intersection 355"
-60.7799593,-32.9142422,"Intersection 356"
-60.779954,-32.882617,"Intersection 357"
-60.7799435,-32.9185273,"Intersection 358"
-60.7799337,-32.9169455,"Intersection 359"
-60.7799305,-32.9145479,"Intersection 360"
-60.7799166,-32.9168265,"Intersection 361"
-60.7799057,-32.9142595,"Intersection 362"
-60.7799052,-32.916598,"Intersection 363"
-60.7798997,-32.9169334,"Intersection 364"
-60.7798918,-32.9169168,"Intersection 365"
-60.7798845,-33.0010895,"Intersection 366"
-60.7798683,-32.9222812,"Intersection 367"
-60.7798617,-32.9167239,"Intersection 368"
-60.7798559,-32.9926148,"Intersection 369"
-60.7798513,-32.9145883,"Intersection 370"
-60.7798483,-32.9168252,"Intersection 371"
-60.7798295,-32.9239184,"Intersection 372"
-60.7798245,-32.9167752,"Intersection 373"
-60.7798243,-32.9142994,"Intersection 374"
-60.7798223,-32.9992159,"Intersection 375"
-60.7798146,-32.9166359,"Intersection 376"
-60.7798084,-32.9167413,"Intersection 377"
-60.7798045,-32.9164714,"Intersection 378"
-60.7797667,-32.9960344,"Intersection 379"
-60.7797651,-32.9143667,"Intersection 380"
-60.779754,-32.9003549,"Intersection 381"
-60.7797495,-32.9142405,"Intersection 382"
-60.7797448,-32.9182619,"Intersection 383"
-60.7797083,-32.990173,"Intersection 384"
-60.7797064,-32.9182458,"Intersection 385"
-60.7796876,-33.0020781,"Intersection 386"
-60.7796518,-32.8822176,"Intersection 387"
-60.7796497,-32.9902551,"Intersection 388"
-60.7796478,-32.999986,"Intersection 389"
-60.7796365,-32.9999198,"Intersection 390"
-60.7796279,-32.9180272,"Intersection 391"
-60.7796193,-32.9177302,"Intersection 392"
-60.7796172,-32.9169685,"Intersection 393"
-60.77961,-32.9180718,"Intersection 394"
-60.7796019,-32.9154946,"Intersection 395"
-60.7795969,-32.9176206,"Intersection 396"
-60.7795911,-33.0021994,"Intersection 397"
-60.7795751,-32.8998804,"Intersection 398"
-60.7795748,-32.9169457,"Intersection 399"
-60.7795503,-32.9176326,"Intersection 400"
-60.7795342,-32.9169238,"Intersection 401"
-60.7795222,-32.9175104,"Intersection 402"
-60.7795081,-32.9137282,"Intersection 403"
-60.7795056,-32.9947615,"Intersection 404"
-60.7794961,-32.9168435,"Intersection 405"
-60.7794764,-32.9136673,"Intersection 406"
-60.7794736,-32.9991516,"Intersection 407"
-60.7794711,-32.9173963,"Intersection 408"
-60.7794677,-32.9668008,"Intersection 409"
-60.7794626,-32.967092,"Intersection 410"
-60.7794308,-32.9172806,"Intersection 411"
-60.7794253,-32.9679923,"Intersection 412"
-60.7794175,-32.9168692,"Intersection 413"
-60.7794153,-32.9660122,"Intersection 414"
-60.77941,-32.968362,"Intersection 415"
-60.7794059,-32.916746,"Intersection 416"
-60.7794053,-32.9168431,"Intersection 417"
-60.7793869,-32.9182482,"Intersection 418"
-60.7793847,-32.9155633,"Intersection 419"
-60.779384,-32.9167975,"Intersection 420"
-60.7793659,-32.9167589,"Intersection 421"
-60.7793611,-32.9660104,"Intersection 422"
-60.7793579,-32.9082058,"Intersection 423"
-60.7793508,-32.9167266,"Intersection 424"
-60.7793385,-32.9133638,"Intersection 425"
-60.7793342,-32.9165923,"Intersection 426"
-60.7793159,-32.9241551,"Intersection 427"
-60.7793135,-32.9223445,"Intersection 428"
-60.7793074,-32.9166338,"Intersection 429"
-60.7792942,-32.9166055,"Intersection 430"
-60.7792804,-32.9165761,"Intersection 431"
-60.7792789,-32.9004555,"Intersection 432"
-60.7792615,-32.9164366,"Intersection 433"
-60.7792453,-32.9279693,"Intersection 434"
-60.779243,-32.923949,"Intersection 435"
-60.7792423,-32.9182739,"Intersection 436"
-60.7792414,-32.9476777,"Intersection 437"
-60.779236,-32.916481,"Intersection 438"
-60.7792351,-32.9934639,"Intersection 439"
